Experiment 1:
--------------------BST first() with sorted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
110000	1073E0	|	6407E-2		9755E-6		5825E-7		-1367E-9		-6045E-10
120000	8520E-1	|	5050E-2		7100E-6		4208E-7		5623E-10		5632E-10
130000	9430E-1	|	5551E-2		7254E-6		4270E-7		-3369E-9		-2893E-9
140000	8880E-1	|	5194E-2		6343E-6		3710E-7		-4736E-10		7224E-10
150000	9350E-1	|	5438E-2		6233E-6		3625E-7		9120E-10		5155E-10
160000	9590E-1	|	5547E-2		5994E-6		3467E-7		-5648E-9		7057E-10
170000	9940E-1	|	5721E-2		5847E-6		3365E-7		-8534E-10		-4849E-9
180000	9860E-1	|	5648E-2		5478E-6		3138E-7		-5031E-10		7316E-10
190000	1073E0	|	6119E-2		5647E-6		3221E-7		6166E-10		6492E-10
200000	1085E0	|	6161E-2		5425E-6		3081E-7		8065E-10		1693E-9

Experiment 3:
--------------------BST add(mid) with sorted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	4772E1	|	3591E0		4772E-3		3591E-4		4772E-7		-6561E-8
20000	4154E1	|	2907E0		2077E-3		1454E-4		1038E-7		-2725E-8
30000	4218E1	|	2836E0		1406E-3		9454E-5		4687E-8		2298E-8
40000	4044E1	|	2645E0		1011E-3		6613E-5		2528E-8		5841E-8
50000	4123E1	|	2641E0		8246E-4		5283E-5		-2297E-8		-5662E-8
60000	4567E1	|	2877E0		7611E-4		4795E-5		-6571E-8		2537E-8
70000	4229E1	|	2627E0		6041E-4		3753E-5		6989E-8		-1103E-7
80000	4236E1	|	2601E0		5295E-4		3251E-5		2012E-8		3406E-8
90000	4144E1	|	2518E0		4604E-4		2798E-5		-8458E-8		-2094E-8
100000	4286E1	|	2581E0		4286E-4		2581E-5		3040E-8		-2801E-8
110000	4118E1	|	2459E0		3743E-4		2235E-5		-5246E-8		-2320E-8
120000	4263E1	|	2527E0		3552E-4		2105E-5		2814E-8		2818E-8
130000	4218E1	|	2483E0		3244E-4		1910E-5		-1507E-7		-1294E-7
140000	4244E1	|	2482E0		3031E-4		1773E-5		-2263E-8		3452E-8
150000	4021E1	|	2338E0		2680E-4		1559E-5		3922E-8		2216E-8
160000	4002E1	|	2315E0		2501E-4		1447E-5		-2357E-7		2945E-8
170000	4217E1	|	2427E0		2480E-4		1428E-5		-3620E-8		-2057E-7
180000	4259E1	|	2439E0		2366E-4		1355E-5		-2173E-8		3160E-8
190000	4283E1	|	2443E0		2254E-4		1286E-5		2461E-8		2591E-8
200000	4031E1	|	2289E0		2015E-4		1144E-5		2996E-8		6289E-8
--------------------BST add(mid) with permuted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1780E0	|	1340E-1		1780E-4		1340E-5		1780E-8		-2447E-9
20000	6030E-1	|	4220E-2		3015E-5		2110E-6		1507E-9		-3957E-10
30000	4460E-1	|	2999E-2		1487E-5		9996E-7		4956E-10		2430E-10
40000	5360E-1	|	3506E-2		1340E-5		8765E-7		3350E-10		7742E-10
50000	5480E-1	|	3511E-2		1096E-5		7021E-7		-3053E-10		-7526E-10
60000	7260E-1	|	4574E-2		1210E-5		7623E-7		-1045E-9		4034E-10
70000	6900E-1	|	4287E-2		9857E-6		6124E-7		1140E-9		-1801E-9
80000	6550E-1	|	4021E-2		8188E-6		5027E-7		3112E-10		5267E-10
90000	6030E-1	|	3664E-2		6700E-6		4071E-7		-1231E-9		-3047E-10
100000	6070E-1	|	3655E-2		6070E-6		3655E-7		4305E-10		-3966E-10
110000	6750E-1	|	4031E-2		6136E-6		3664E-7		-8600E-10		-3803E-10
120000	6230E-1	|	3692E-2		5192E-6		3077E-7		4112E-10		4118E-10
130000	5760E-1	|	3391E-2		4431E-6		2608E-7		-2058E-9		-1767E-9
140000	6860E-1	|	4013E-2		4900E-6		2866E-7		-3659E-10		5581E-10
150000	6390E-1	|	3716E-2		4260E-6		2478E-7		6233E-10		3523E-10
160000	7260E-1	|	4200E-2		4537E-6		2625E-7		-4276E-9		5342E-10
170000	6110E-1	|	3517E-2		3594E-6		2069E-7		-5246E-10		-2981E-9
180000	6670E-1	|	3821E-2		3706E-6		2123E-7		-3404E-10		4949E-10
190000	7570E-1	|	4317E-2		3984E-6		2272E-7		4350E-10		4580E-10
200000	8680E-1	|	4929E-2		4340E-6		2465E-7		6452E-10		1354E-9

Experiment 4:
--------------------TreeSet first() with permuted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1646E0	|	1239E-1		1646E-4		1239E-5		1646E-8		-2263E-9
20000	9860E-1	|	6901E-2		4930E-5		3451E-6		2465E-9		-6470E-10
